subject_area,1979.0,1996.0,1998.0,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0
Angewandte Mathematik,0,0,2,0,0,0,2,0,2,3,1,6,1,0,3,1,2,2,0
Mechanik,0,0,0,0,2,0,0,1,0,4,2,2,0,1,7,1,2,0,3
Biotechnologie,0,0,0,0,1,1,0,0,1,3,6,1,0,2,3,1,5,0,1
Produktionstechnik,0,0,0,1,2,1,0,1,2,0,5,3,0,2,3,0,2,1,2
Hämatologie,0,0,0,2,0,1,0,0,2,4,1,1,0,2,3,1,3,4,1
Pharmazie,0,0,0,0,0,0,0,0,0,3,6,3,1,2,2,0,5,1,1
Bodenkunde,0,0,0,0,1,0,1,0,2,3,2,4,5,1,1,1,1,2,0
Pflanzenphysiologie,0,0,1,1,0,1,0,1,2,1,1,1,2,2,0,3,5,1,2
Strömungsmechanik,0,0,1,0,0,0,1,1,0,1,1,3,4,3,0,1,1,4,3
Anatomie,0,0,0,1,2,1,1,0,0,3,4,2,3,0,2,2,0,2,0
Statistik,0,0,0,0,0,0,0,0,2,1,0,3,5,0,2,2,6,1,1
Medienwissenschaften,0,0,0,0,0,0,0,0,0,2,0,0,3,1,3,2,6,4,1
Gastroenterologie,0,0,1,1,0,1,1,0,3,1,2,2,1,1,3,1,1,1,1
Astrophysik,0,0,1,0,0,0,0,1,0,2,3,4,1,1,4,2,2,0,0
Anglistik,0,0,0,1,0,1,1,2,0,1,1,2,0,0,0,1,5,4,2
Mineralogie,1,1,0,1,0,0,1,0,1,1,3,2,1,4,2,2,1,0,0
Romanistik,0,0,0,1,0,0,1,2,0,0,2,1,0,0,0,1,4,5,3
Endokrinologie,0,0,0,0,0,0,0,1,2,2,2,1,1,2,0,3,0,3,3
Nephrologie,0,0,0,2,0,0,0,0,1,3,1,1,1,3,1,0,2,3,1
Systembiologie,0,0,0,0,0,0,0,1,0,1,2,2,1,1,1,3,3,2,2
Molekulargenetik,0,0,0,0,0,0,1,0,4,4,2,1,1,1,2,1,2,0,0
Bauingenieurwesen,0,0,0,0,0,0,2,0,1,2,2,1,1,2,2,3,1,0,1
Oberflächenphysik,0,0,1,0,0,2,1,1,0,0,1,2,2,0,2,1,2,3,0
Geografie,0,0,0,0,0,0,0,0,0,0,3,5,2,4,1,0,1,2,0
Fertigungstechnik,0,0,1,0,2,0,0,0,1,1,5,1,0,1,1,2,1,0,2
Theologie,0,0,0,0,0,0,1,0,2,3,1,3,0,3,0,0,2,2,1
Linguistik,0,0,0,0,0,0,1,2,0,1,4,2,0,1,0,2,2,2,1
Alte Geschichte,0,0,0,0,0,1,1,0,3,1,2,1,0,1,0,2,2,3,1
Literaturwissenschaften,0,0,0,0,0,0,0,0,0,4,1,3,1,3,0,0,4,1,0
Ökologie,0,0,0,0,0,0,1,1,1,0,0,2,5,1,1,1,2,0,2
Numerische Mathematik,0,0,1,0,0,0,3,0,1,2,1,1,2,0,0,2,3,0,1
Geologie,1,1,0,0,0,0,0,0,1,1,3,3,2,2,1,1,0,1,0
Molekulare Medizin,0,0,0,0,0,1,3,0,2,1,2,3,1,0,1,0,1,2,0
Ingenieurwissenschaften,0,0,0,0,0,0,0,0,1,2,3,2,0,3,2,2,1,0,1
Molekulare Zellbiologie,0,0,0,0,1,0,1,0,2,2,1,1,2,1,2,0,1,2,1
Neuroanatomie,0,0,0,0,1,3,1,0,3,2,2,0,1,1,1,0,0,1,1
Thermodynamik,0,0,0,0,0,0,0,1,0,2,0,1,1,0,4,3,0,2,2
Humangenetik,0,0,0,1,1,1,2,0,0,4,0,1,3,0,0,0,2,1,0
Halbleiterphysik,0,0,0,0,1,1,0,1,0,1,1,1,4,0,1,0,2,3,0
Klassische Archäologie,0,0,0,0,0,1,0,0,1,1,2,2,0,0,1,1,3,3,1
Kulturwissenschaften,0,0,0,0,0,0,0,0,0,3,0,1,0,2,2,1,4,2,1
Amerikanistik,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,1,5,3,2
Klassische Philologie,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,1,4,4,1
Biogeochemie,0,0,0,0,0,1,2,0,0,1,1,2,2,0,1,2,1,2,0
Umformtechnik,0,0,1,0,1,0,0,1,0,0,4,3,1,2,0,0,1,1,0
Hydrologie,0,0,0,0,0,0,1,0,0,3,2,3,0,1,0,2,1,2,0
Informationstechnik,0,0,0,0,0,0,0,0,0,2,5,1,0,1,0,2,2,2,0
Volkswirtschaftslehre,0,0,0,0,0,0,0,0,2,1,2,1,1,0,2,1,3,1,1
Japanologie,0,0,0,0,0,0,0,0,1,1,1,3,3,1,1,1,3,0,0
Pädiatrie,0,0,0,0,1,0,2,1,0,4,2,1,0,0,3,0,0,1,0
Mikrosystemtechnik,0,0,1,0,1,0,0,0,3,1,2,0,1,0,1,2,1,2,0
Werkstoffkunde,0,0,0,0,1,0,1,2,3,0,1,1,1,0,2,1,0,0,1
Architektur,0,0,0,0,0,0,1,0,0,1,4,1,0,1,0,0,4,0,2
Hepatologie,0,0,0,1,0,2,0,0,2,1,0,0,0,2,1,1,1,1,2
Sinologie,0,0,0,0,0,0,0,0,0,3,1,1,1,1,2,1,4,0,0
Chirurgie,0,0,0,0,0,1,0,2,3,1,2,0,0,1,1,0,1,0,2
Parasitologie,0,0,0,0,0,0,1,1,0,2,2,1,2,1,1,1,0,0,2
Politikwissenschaft,0,0,0,0,0,2,0,0,1,1,9,0,0,0,0,0,0,0,0
Infektionsbiologie,0,0,1,0,0,2,0,0,0,1,1,1,1,0,0,2,1,1,2
Pharmazeutische Chemie,0,0,0,0,0,1,4,1,0,1,0,0,0,1,0,0,0,3,2
Geochemie,0,1,0,1,0,1,0,0,1,0,1,3,1,0,1,0,1,2,0
Technische Chemie,0,0,0,0,1,0,2,0,2,1,0,0,0,1,2,0,2,1,1
Tierphysiologie,0,0,0,1,0,1,0,1,1,1,2,0,0,1,1,1,2,1,0
Nanotechnologie,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,2,2,2,2
Quantenoptik,0,0,0,0,0,0,1,1,0,2,1,0,2,0,1,0,3,0,2
Makromolekulare Chemie,0,0,1,1,0,0,1,1,0,1,0,0,1,1,1,1,1,3,0
